We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
Good tidings we bring | Cuvinte: 4 Vocale: 6
To you and your kin | Cuvinte: 5 Vocale: 7
Good tidings for Christmas | Cuvinte: 4 Vocale: 7 *
AND A HAPPY NEW YEAR | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
We wish you a merry Christmas | Cuvinte: 6 Vocale: 8 *
WE WISH YOU A MERRY CHRISTMAS | Cuvinte: 6 Vocale: 8 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
NOW BRING US A FIGGY PUDDING | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
And bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Then bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
Good tidings we bring | Cuvinte: 4 Vocale: 6
To you and your kin | Cuvinte: 5 Vocale: 7
Good tidings for Christmas | Cuvinte: 4 Vocale: 7 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
Now bring us a figgy pudding | Cuvinte: 6 Vocale: 7
And bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
FOR WE ALL LIKE FIGGY PUDDING | Cuvinte: 6 Vocale: 8
So bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
So bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
Good tidings we bring | Cuvinte: 4 Vocale: 6
To you and your kin | Cuvinte: 5 Vocale: 7
GOOD TIDINGS FOR CHRISTMAS | Cuvinte: 4 Vocale: 7 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
For we all like figgy pudding | Cuvinte: 6 Vocale: 8
So bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
And we won't go until we got some | Cuvinte: 8 Vocale: 10
And we won't go until we got some | Cuvinte: 8 Vocale: 10
And we won't go until we got some | Cuvinte: 8 Vocale: 10
So bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
And we won't go until we got some | Cuvinte: 8 Vocale: 10
And we won't go until we got some | Cuvinte: 8 Vocale: 10
And we won't go until we got some | Cuvinte: 8 Vocale: 10
So bring some out here | Cuvinte: 5 Vocale: 8
 | Cuvinte: 0 Vocale: 0
GOOD TIDINGS WE BRING | Cuvinte: 4 Vocale: 6
To you and your kin | Cuvinte: 5 Vocale: 7
Good tidings for Christmas | Cuvinte: 4 Vocale: 7 *
And a happy new year | Cuvinte: 5 Vocale: 6
 | Cuvinte: 0 Vocale: 0
Good tidings for Christmas | Cuvinte: 4 Vocale: 7 *
And a happy new year | Cuvinte: 5 Vocale: 6
